DateTime,AddedIPs,RemovedIPs
1505261221,1,5
1505272296,7,8
1505283525,1,8
1505294382,4,5
1505305570,2,7
1505315876,1,9
1505326726,10,6
1505337700,10,7
1505348659,8,6
1505359681,6,6
1505370384,7,4
1505381267,6,4
1505392169,5,5
1505403194,9,6
1505414284,9,6
1505424916,6,7
1505435826,3,3
1505446814,6,4
1505457806,5,2
1505468709,2,5
1505478937,8,4
1505489662,9,9
1505500693,1,7
1505511103,3,3
1505521610,9,7
1505532484,7,5
1505543151,7,4
1505554285,6,0
1505565360,3,8
1505576056,6,7
1505587159,5,7
1505598209,4,8
1505609023,5,1
1505619937,3,3
1505630751,4,5
1505641906,7,7
1505652633,5,3
1505663666,5,2
1505674587,6,11
1505685596,7,8
1505696581,6,3
1505707694,4,8
1505718737,10,5
1505729520,10,2
1505740622,6,9
1505751252,10,7
1505762081,6,5
1505773376,5,5
1505784229,4,1
1505795130,7,8
1505806024,4,5
1505817126,8,9
1505828160,4,7
1505838484,3,8
1505849370,7,8
1505860331,5,6
1505871081,5,7
1505882416,3,6
1505904477,3,1
1505913979,5,9
1505924950,5,5
1505935631,6,1
1505947109,4,9
1505957977,4,0
1505968950,4,3
1505979973,4,7
1505990817,6,3
1506001803,7,3
1506012563,1,5
1506023485,8,9
1506034400,5,3
1506044830,5,3
1506055924,2,5
1506066626,7,7
1506078007,0,2
1506088605,4,7
1506099174,7,5
1506110414,3,3
1506121450,3,7
1506132341,7,5
1506143458,2,9
1506154456,6,4
1506165392,8,3
1506176599,5,5
1506187433,10,5
1506198541,7,9
1506209354,5,8
1506219967,10,4
1506230599,5,5
1506241917,7,4
1506252013,9,3
1506262995,7,3
1506274012,11,4
1506285325,10,3
1506296422,12,5
1506307439,7,0
1506318690,7,4
1506329566,9,7
1506340360,6,10
1506350728,6,6
1506361705,7,4
1506372522,4,5
1506383502,7,4
1506394148,7,5
1506404488,6,5
1506415027,3,2
1506425927,5,2
1506437059,7,5
1506447999,4,7
1506458913,5,11
1506470035,12,1
1506480947,9,8
1506491770,4,5
1506502532,7,6
1506513818,6,4
1506524685,6,11
1506535662,12,5
1506546592,4,6
1506557526,8,5
1506568430,8,5
1506579315,18,1
1506590385,7,6
1506601082,5,10
1506611678,8,6
1506622477,9,3
1506633568,10,7
1506644689,10,5
1506655296,6,7
1506665993,12,3
1506676998,11,4
1506688046,2,3
1506698715,8,10
1506709608,10,7
1506720646,11,12
1506732011,7,13
1506742422,8,10
1506753377,8,4
1506764242,9,6
1506774881,7,11
1506785938,7,9
1506797291,15,8
1506808266,6,12
1506819294,6,5
1506830408,5,9
1506841313,5,5
1506852384,9,6
1506863521,13,7
1506874501,15,6
1506885476,6,8
1506896320,9,10
1506907095,12,11
1506917755,9,9
1506928783,10,9
1506939820,10,6
1506950745,8,6
1506961690,6,10
1506972112,11,3
1506983040,10,5
1506993815,9,7
1507004484,11,6
1507014991,6,12
1507025721,9,6
1507036550,10,11
1507047780,9,8
1507058740,5,9
1507070175,12,6
1507081048,6,4
1507091992,9,6
1507103032,11,5
1507114268,16,9
1507125590,6,5
1507136520,8,4
1507147449,16,10
1507158212,10,8
1507169091,6,3
1507179962,13,4
1507191013,7,3
1507201739,15,6
1507212547,5,9
1507223694,7,7
1507234827,13,6
1507245836,8,8
1507257144,11,12
1507266982,8,9
1507277500,6,2
1507288411,9,2
1507299241,10,3
1507310169,5,7
1507321194,6,8
1507332245,6,6
1507343109,5,11
1507353726,2,3
1507364848,3,7
1507375661,10,7
1507386572,8,4
1507397502,2,12
1507408566,5,5
1507419196,3,0
1507430142,8,5
1507441200,2,4
1507452123,17,2
1507463014,3,3
1507474131,8,5
1507485049,5,5
1507496008,6,8
1507506628,7,5
1507516918,2,6
1507527650,3,8
1507538401,4,3
1507549493,4,3
1507560363,1,6
1507571297,3,3
1507582309,9,9
1507593267,10,12
1507604344,7,5
1507615388,1,7
1507625742,5,10
1507636800,7,6
1507647828,1,6
1507658527,3,8
1507669308,1,3
1507680138,6,8
1507691064,3,4
1507702096,3,10
1507713110,4,7
1507723960,4,7
1507734885,2,5
1507747726,12,10
1507758973,24,9
1507769980,9,6
1507781292,14,2
1507792284,11,3
1507803621,21,4
1507814888,20,7
1507825715,14,3
1507836975,17,2
1507847881,27,1
1507858806,14,7
1507869852,19,7
1507880823,10,3
1507891924,16,3
1507903094,15,7
1507914007,16,7
1507924935,14,6
1507935688,7,6
1507946636,16,8
1507957953,8,2
1507968956,21,6
1507980206,11,7
1507991148,15,8
1508002056,14,6
1508013036,17,5
1508024134,19,7
1508035097,18,9
1508046243,8,6
1508057288,16,4
1508068335,15,4
1508079203,8,6
1508090330,7,5
1508100958,11,4
1508111938,10,8
1508123039,11,11
1508134021,11,6
1508145045,6,7
1508156112,6,9
1508167149,21,10
1508178136,13,4
1508189252,26,5
1508200296,12,6
1508211346,28,3
1508222388,15,4
1508233398,13,3
1508244431,20,2
1508255539,11,6
1508266456,12,5
1508277363,21,8
1508288640,16,9
1508299488,22,7
1508310966,24,11
1508321907,18,15
1508333033,26,7
1508344232,13,8
1508355340,20,7
1508366411,20,5
1508377416,21,3
1508388455,11,5
1508399516,19,5
1508410560,19,2
1508421542,19,5
1508432607,9,2
1508443659,16,7
1508454687,10,9
1508465617,9,3
1508476415,12,2
1508487939,12,5
1508498946,3,3
1508510121,12,1
1508521159,15,5
1508532202,21,3
1508543106,16,7
1508553998,3,7
1508565131,11,8
1508576364,6,4
1508587342,12,3
1508598683,13,3
1508609780,6,3
1508620701,7,3
1508631776,6,3
1508642884,7,2
1508653945,8,8
1508664979,5,4
1508675971,13,3
1508686794,7,5
1508698094,9,6
1508709086,8,10
1508720164,5,13
1508731201,11,10
1508742229,9,5
1508753281,11,10
