DateTime,Entries,UniqueIPs
1508558418,34381,34516
1508560805,34380,34515
1508561285,34381,34516
1508561765,34379,34514
1508562252,34378,34513
1508562728,34379,34514
1508563686,34378,34513
1508564165,34377,34512
1508564648,34377,34512
1508564890,3922,3987
1508565124,3923,3988
1508565614,3923,3988
1508566087,3923,3988
1508566565,3924,3989
1508567530,3923,3988
1508568489,3924,3989
1508571604,3923,3988
1508572090,3924,3989
1508573290,3922,3987
1508573769,3923,3988
1508574490,3924,3989
1508574965,3925,3990
1508575449,3927,3992
1508576889,3926,3991
1508577367,3926,3991
1508577848,3926,3991
1508578329,3928,3993
1508578808,3926,3991
1508579285,3928,3993
1508579769,3927,3992
1508580257,3928,3993
1508582650,3928,3993
1508583126,3929,3994
1508584088,3928,3993
1508584564,3927,3991
1508585045,3927,3992
1508585525,3928,3993
1508588405,3928,3993
1508589130,3928,3993
1508589604,3930,3995
1508590086,3928,3993
1508590566,3927,3992
1508591051,3928,3993
1508591525,3927,3992
1508592004,3927,3992
1508592489,3928,3993
1508592965,3927,3992
1508593448,3926,3991
1508593927,3928,3993
1508597288,3927,3992
1508597773,3928,3993
1508599208,3927,3992
1508599689,3928,3993
1508600645,3928,3993
1508601124,3929,3994
1508601622,3930,3995
1508602087,3929,3994
1508602566,3930,3994
1508603045,3929,3994
1508603533,3930,3995
1508604004,3929,3994
1508604484,3928,3993
1508604966,3926,3991
1508605451,3926,3991
1508605925,3927,3992
1508608567,3929,3994
1508610728,3928,3993
1508611208,3928,3993
1508611685,3929,3994
1508613609,3928,3993
1508614086,3928,3993
1508614564,3929,3994
1508615050,3931,3996
1508615525,3930,3995
1508616007,3932,3997
1508617445,3931,3996
1508617930,3932,3997
1508618405,3931,3996
1508618887,3932,3997
1508624165,3931,3996
1508624899,3932,3997
1508625849,3932,3997
1508626325,3934,3999
1508629206,3933,3998
1508629689,3932,3997
1508630164,3932,3997
1508630648,3934,3999
1508631846,3933,3998
1508632325,3934,3999
1508634490,3933,3998
1508634964,3933,3998
1508635449,3934,3999
1508635925,3932,3997
1508636410,3934,3999
1508636885,3932,3997
1508637365,3932,3997
1508637847,3933,3998
1508638326,3932,3997
1508638804,3931,3996
1508639287,3932,3997
1508640007,3931,3996
1508640492,3931,3996
1508640965,3932,3997
1508641928,3931,3996
1508642406,3932,3997
1508643365,3933,3998
1508643849,3934,3999
1508644330,3933,3998
1508644810,3934,3999
1508646726,3932,3997
1508647206,3934,3999
1508648169,3932,3997
1508650566,3930,3995
1508651047,3931,3996
1508651527,3932,3997
1508652501,3936,4001
1508652968,3935,4000
1508653445,3936,4001
1508654410,3935,4000
1508654889,3936,4001
1508655854,3935,4000
1508656326,3935,4000
1508656815,3935,4000
1508657286,3936,4001
1508657768,3935,4000
1508658245,3936,4001
1508660644,3935,4000
1508661128,3936,4001
1508662085,3934,3999
1508662566,3936,4001
1508663527,3935,4000
1508664005,3934,3999
1508664487,3936,4001
1508664965,3935,4000
1508665446,3936,4001
1508666889,3934,3999
1508667368,3936,4001
1508667845,3935,4000
1508668326,3936,4001
1508668810,3934,3999
1508669305,3933,3998
1508669766,3934,3999
1508670247,3932,3997
1508670728,3933,3998
1508671207,3932,3997
1508671687,3934,3999
1508672166,3933,3998
1508672647,3934,3999
1508673127,3932,3997
1508673611,3933,3998
1508674086,3934,3999
1508674564,3935,4000
1508675052,3936,4001
1508675525,3935,4000
1508676005,3935,4000
1508676485,3936,4001
1508680324,3935,4000
1508680822,3935,4000
1508681285,3935,4000
1508681767,3936,4001
1508683689,3935,4000
1508684165,3934,3999
1508684652,3933,3998
1508685126,3934,3999
1508686572,3933,3998
1508687045,3932,3997
1508687528,3934,3999
1508688486,3936,4001
1508690885,3935,4000
1508691368,3936,4001
1508692326,3935,4000
1508692808,3935,4000
1508693284,3936,4001
1508693764,3935,4000
1508694249,3936,4001
1508696194,3938,4003
1508697606,3937,4002
1508698097,3938,4003
1508699525,3937,4002
1508700010,3937,4002
1508700494,3938,4003
1508701448,3936,4000
1508701929,3936,4001
1508702482,3937,4002
1508705049,3937,4001
1508705524,3936,4001
1508706032,3937,4002
1508708165,3936,4001
1508708648,3936,4001
1508709125,3937,4002
1508709617,3935,4000
1508710084,3933,3998
1508710568,3934,3999
1508711047,3935,4000
1508712485,3934,3999
1508712966,3935,4000
1508713449,3934,3999
1508713931,3935,4000
1508714406,3932,3997
1508714888,3934,3999
1508718968,3933,3998
1508719445,3931,3996
1508719930,3934,3999
1508720886,3932,3997
1508721367,3933,3998
1508721848,3936,4001
1508722804,3935,4000
1508723285,3936,4001
1508724247,3935,4000
1508724730,3935,4000
1508725205,3938,4003
1508728811,3937,4002
1508729286,3938,4003
1508729764,3935,4000
1508730244,3935,4000
1508730725,3936,4001
1508731691,3938,4003
1508732165,3937,4002
1508732650,3937,4002
1508733125,3937,4002
1508733608,3938,4003
1508735050,3935,4000
1508735530,3938,4003
1508736004,3936,4001
1508738417,3937,4002
1508738885,3937,4002
1508739367,3938,4003
1508739860,3939,4004
1508740805,3938,4003
1508741292,3939,4004
1508742733,3937,4002
1508743210,3938,4003
1508743685,3939,4004
1508744174,3938,4003
1508744645,3939,4004
1508745131,3937,4002
1508745617,3938,4003
1508746087,3939,4004
1508749449,3940,4005
1508749927,3938,4003
1508750405,3940,4005
1508753769,3936,4001
1508754244,3940,4005
